wnvpresent,predproba,longitude,latitude,year,month,date
1,0.500421351608416,-87.812827,41.98196400000001,2008.0,7.0,2008-07-14
1,0.5004979603660275,-87.930995,41.957799,2008.0,7.0,2008-07-14
1,0.5029460832761367,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5023608144911473,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5064601131206474,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5023608144911473,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5023608144911473,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5023608144911473,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5023608144911473,-87.805059,41.973845000000004,2008.0,7.0,2008-07-14
1,0.5003101880642093,-87.60096300000002,41.728495,2008.0,7.0,2008-07-14
1,0.5019238038989766,-87.800991,41.95469,2008.0,7.0,2008-07-21
1,0.5038409189475921,-87.800991,41.95469,2008.0,7.0,2008-07-21
1,0.5003829353521089,-87.824812,41.974089,2008.0,7.0,2008-07-21
1,0.5029809825481316,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5023957141995921,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5036041443077499,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5023957141995921,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5023957141995921,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5023957141995921,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5023957141995921,-87.795585,41.999128999999996,2008.0,7.0,2008-07-21
1,0.5046270036361372,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5040417623503992,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5081407715200265,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5040417623503992,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5040417623503992,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5040417623503992,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5040417623503992,-87.812827,41.98196400000001,2008.0,7.0,2008-07-21
1,0.5019506795861517,-87.832763,41.944869,2008.0,7.0,2008-07-21
1,0.5025011719510062,-87.832763,41.944869,2008.0,7.0,2008-07-21
1,0.500502368505723,-87.81150600000002,42.011601,2008.0,7.0,2008-07-21
1,0.5000672220837573,-87.707973,41.682587,2008.0,7.0,2008-07-21
1,0.5006177251007595,-87.707973,41.682587,2008.0,7.0,2008-07-21
1,0.5047464263898112,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5041611875611499,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5053695514005266,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5041611875611499,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5041611875611499,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5041611875611499,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5041611875611499,-87.797127,41.990284,2008.0,7.0,2008-07-21
1,0.5014934894838744,-87.77792099999998,42.008314,2008.0,7.0,2008-07-21
1,0.5003167216130059,-87.675088,41.719059,2008.0,7.0,2008-07-21
1,0.5003829353521089,-87.787992,41.970248,2008.0,7.0,2008-07-21
1,0.5011978197371383,-87.794896,41.94016,2008.0,7.0,2008-07-21
1,0.5000672220837573,-87.70373599999998,41.704336,2008.0,7.0,2008-07-21
1,0.5006177251007595,-87.70373599999998,41.704336,2008.0,7.0,2008-07-21
1,0.5001851383721304,-87.797894,41.797616,2008.0,7.0,2008-07-21
1,0.5007356411806667,-87.797894,41.797616,2008.0,7.0,2008-07-21
1,0.5001139527167099,-87.778927,41.776156,2008.0,7.0,2008-07-21
1,0.5012020674259889,-87.53869300000002,41.659112,2008.0,7.0,2008-07-21
1,0.5017525658954443,-87.53869300000002,41.659112,2008.0,7.0,2008-07-21
1,0.5082173598427455,-87.930995,41.957799,2008.0,7.0,2008-07-21
1,0.510664638947082,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5100796055407987,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5141768110139534,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5100796055407987,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5100796055407987,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5100796055407987,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5100796055407987,-87.805059,41.973845000000004,2008.0,7.0,2008-07-21
1,0.5023426597503966,-87.731435,41.743402,2008.0,7.0,2008-07-21
1,0.5035158762461105,-87.731435,41.743402,2008.0,7.0,2008-07-21
1,0.5045158493248028,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5039306058121124,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5080296369836246,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5039306058121124,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5039306058121124,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5039306058121124,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5039306058121124,-87.60096300000002,41.728495,2008.0,7.0,2008-07-21
1,0.5029612977781545,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.500778872294499,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.5048783587080954,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.500778872294499,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.500778872294499,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.500778872294499,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.500778872294499,-87.654234,41.793818,2008.0,7.0,2008-07-21
1,0.5009138720336737,-87.756155,41.904194,2008.0,7.0,2008-07-21
1,0.5028310239071797,-87.756155,41.904194,2008.0,7.0,2008-07-21
